case_id,e1_engagement_rate,e2_generic_comment_share,e3_growth_spikes,e4_target_market_share,e5_premium_collab_share,e6_disclosure_share,true_A_authentic,true_M_matched,true_S_safe,true_sophisticated
INF-000,0.019857180299989743,0.23126292124616504,0,0.6102186641847166,0.6818787174549694,0.9789631746399942,False,True,True,True
INF-001,0.021446446851016758,0.29659690729152016,0,0.6326504717418612,0.7360827151199887,0.7596783630949648,False,True,True,True
INF-002,0.011837775813773582,0.7942955852056601,1,0.36497876493814296,0.24591255063545597,0.9742909843140843,False,False,True,False
INF-003,0.03833625971584253,0.22023319894303414,0,0.5549005403567597,0.33580985263636365,0.9203817769123598,True,False,True,False
INF-004,0.016153713987836715,0.155001321205402,0,0.560380703727263,0.47294112302168295,0.35314210712234156,True,True,False,False
INF-005,0.0049913024933519925,0.7169597481580325,1,0.3534443264910959,0.13724971682674236,0.7598558013218358,False,False,True,False
INF-006,0.030574252942270216,0.2951693532000956,0,0.7305460113252848,0.5543398212243751,0.8685735258610133,True,True,True,False
INF-007,0.02602604230116078,0.21684067029756457,0,0.3312431677029773,0.07148372931155866,0.6891108999119805,True,False,True,False
INF-008,0.02903141561028269,0.355335726434062,0,0.697285691038016,0.5417652213597898,0.8957840408141162,True,True,True,False
INF-009,0.023240602766644147,0.3669467750279444,0,0.5327265789161592,0.7134910891621563,0.9024006643501384,True,True,True,False
INF-010,0.022404014957521177,0.33995842551854033,3,0.7087386978189978,0.6689880534762133,0.7803468321207907,True,True,True,False
INF-011,0.028663213222881286,0.3579329351605185,3,0.6962678769704557,0.5997153931408958,0.9749566912353302,False,True,True,True
INF-012,0.052904386982835214,0.6046096090472645,2,0.4129423494984776,0.10674620253950523,0.9133654698545182,False,False,True,False
INF-013,0.035648389967161236,0.42952172379263515,0,0.751570457494555,0.28003955473382514,0.8692625345255296,True,True,True,False
INF-014,0.00550519280975396,0.7835466669014334,2,0.7051425232872386,0.7132956758140431,0.8434419394543125,False,True,True,False
INF-015,0.031459489628259445,0.4495175604126675,0,0.6996166512351244,0.5963231618447683,0.9352995308246472,True,True,True,False
INF-016,0.044797998525365056,0.2923636914774197,0,0.6901642680226581,0.49864370654020734,0.9319312496129508,False,True,True,True
INF-017,0.03206446889693479,0.3714351040564134,0,0.7940980542254399,0.6697929029503746,0.9209600308551499,True,True,True,False
INF-018,0.05288095474193389,0.0695293873498788,0,0.6682583824411754,0.5467422418094126,0.9507884636905067,True,True,True,False
INF-019,0.020663687830376407,0.2606003003273973,0,0.4537338488560557,0.1901186422615764,0.7892927445351622,True,False,True,False
INF-020,0.029046186608050903,0.28999045494575904,1,0.8138665955574016,0.5505552531952309,0.8512751136397095,True,True,True,False
INF-021,0.03312906363152811,0.3034943305846161,1,0.3936806994874495,0.23608443140640062,0.8727262491139125,True,False,True,False
INF-022,0.0323482070941263,0.15644058091368648,0,0.24977016325322585,0.1595989127752548,0.8947665600585134,True,False,True,False
INF-023,0.03109369857471021,0.3314708298005678,0,0.9158994890374443,0.6869818304580437,0.6847247696343524,True,True,True,False
INF-024,0.006213989046795903,0.7970685649579612,2,0.25919622655835317,0.08476129449815455,0.845992513122346,False,False,True,False
INF-025,0.03275865534860962,0.26617114314511175,0,0.7669167160806263,0.8486654398815857,0.8271702333702344,True,True,True,False
INF-026,0.01119171069897605,0.3237927392740342,0,0.3142547954109756,0.05151089458380926,0.9685562593995195,True,False,True,False
INF-027,0.0475639668142276,0.4997287319121152,1,0.4669267978326712,0.10429335120323296,0.8331452496847611,True,False,True,False
INF-028,0.06249388522255573,0.6227641648729939,4,0.30443535911155406,0.17310459316122678,0.8068601708593716,False,False,True,False
INF-029,0.014238080957897681,0.20940279730174674,0,0.25225686276757353,0.09418770276508837,0.8957531026399338,True,False,True,False
INF-030,0.019272183741036824,0.3994900477325401,0,0.7580260291444338,0.5780925752372804,0.9300244116076953,True,True,True,False
INF-031,0.01362143453879767,0.48218263860267463,0,0.5006969145148579,0.2701758834593183,0.8594160965808628,True,False,True,False
INF-032,0.017571217500433067,0.32770780878983996,0,0.7789950022960292,0.4503860342466001,0.8130147803300305,True,True,True,False
INF-033,0.021632959349090347,0.32006576208279963,0,0.4309245146071848,0.2169916406420896,0.7648022700127395,True,False,True,False
INF-034,0.020130713700048642,0.15218641405240327,1,0.6123580115456143,0.6216153638614078,0.9036126390951416,True,True,True,False
