arm,policy,case_id,action,cost,p_authentic,p_matched,p_safe,p_clean,max_atom,true_A_authentic,true_M_matched,true_S_safe,true_sophisticated
misspecified,v0_threshold,INF-000,SIGN,-10.0,0.9951729555719211,0.9993997889059391,0.9974926151243686,0.9920818578017486,0.9920818578017486,True,True,True,False
misspecified,v0_expected_cost,INF-000,SIGN,-10.0,0.9951729555719211,0.9993997889059391,0.9974926151243686,0.9920818578017486,0.9920818578017486,True,True,True,False
misspecified,v1_voi,INF-000,SIGN,-10.0,0.9951729555719211,0.9993997889059391,0.9974926151243686,0.9920818578017486,0.9920818578017486,True,True,True,False
misspecified,engagement_baseline,INF-000,SIGN,-10.0,0.9951729555719211,0.9993997889059391,0.9974926151243686,0.9920818578017486,0.9920818578017486,True,True,True,False
misspecified,v0_threshold,INF-001,ESCALATE,5.0,0.9732287914557178,0.9982295929564935,0.2984495525068904,0.2899454654028318,0.6815603149455495,False,True,False,True
misspecified,v0_expected_cost,INF-001,ANALYTICS,1.0,0.9732287914557178,0.9982295929564935,0.2984495525068904,0.2899454654028318,0.6815603149455495,False,True,False,True
misspecified,v1_voi,INF-001,ESCALATE,5.0,0.9732287914557178,0.9982295929564935,0.2984495525068904,0.2899454654028318,0.6815603149455495,False,True,False,True
misspecified,engagement_baseline,INF-001,SIGN,200.0,0.9732287914557178,0.9982295929564935,0.2984495525068904,0.2899454654028318,0.6815603149455495,False,True,False,True
misspecified,v0_threshold,INF-002,SIGN,-10.0,0.9988259092609236,0.9968641684443591,0.9834904071148998,0.9792552608492169,0.9792552608492169,True,True,True,False
misspecified,v0_expected_cost,INF-002,SIGN,-10.0,0.9988259092609236,0.9968641684443591,0.9834904071148998,0.9792552608492169,0.9792552608492169,True,True,True,False
misspecified,v1_voi,INF-002,SIGN,-10.0,0.9988259092609236,0.9968641684443591,0.9834904071148998,0.9792552608492169,0.9792552608492169,True,True,True,False
misspecified,engagement_baseline,INF-002,SIGN,-10.0,0.9988259092609236,0.9968641684443591,0.9834904071148998,0.9792552608492169,0.9792552608492169,True,True,True,False
misspecified,v0_threshold,INF-003,SIGN,-10.0,0.9990901236060489,0.9975028864297264,0.9994382514234176,0.9960354461193172,0.9960354461193172,True,True,True,False
misspecified,v0_expected_cost,INF-003,SIGN,-10.0,0.9990901236060489,0.9975028864297264,0.9994382514234176,0.9960354461193172,0.9960354461193172,True,True,True,False
misspecified,v1_voi,INF-003,SIGN,-10.0,0.9990901236060489,0.9975028864297264,0.9994382514234176,0.9960354461193172,0.9960354461193172,True,True,True,False
